CHILDID,DOBMM,DOBDD,DOBYY,GENDER,RACE,R1_KAGE,C1R4RSCL,C1R4MSCL,C5R4RSCL,C5R4MSCL,P1HMAFB,WKSESL,P1WICMOM,P1WICCHD
0001001C,3,22,1993,2,1,69.07,36.58,39.54,NA,NA,26,1.49,2,2
0001002C,7,28,1992,2,1,77.2,50.82,44.44,185.22,124.61,24,1.56,2,2
0001003C,8,18,1993,2,1,64.1,40.68,28.57,NA,NA,31,1.61,2,2
0001004C,6,24,1993,1,1,65.93,34.72,26.62,151.64,114.38,22,1.04,2,2
0001005C,10,9,1992,2,1,74.53,38.28,40.88,150.18,105.4,25,1.99,2,2
0001006C,9,20,1993,1,1,63.0,32.57,23.57,153.59,112.87,32,1.55,2,2
0001007C,9,2,1993,1,1,63.6,31.98,19.65,106.11,71.98,36,0.62,2,2
0001008C,12,7,1992,2,8,72.57,50.45,36.27,NA,NA,32,2.25,2,2
0001009C,5,1,1993,1,1,67.73,32.49,20.82,95.48,64.64,24,-0.21,1,2
0001010C,2,3,1993,2,1,70.63,33.3,26.85,149.05,110.49,33,1.41,2,2
0001011C,12,11,1992,2,1,72.47,65.92,47.36,188.61,135.97,28,1.08,2,2
0001012C,4,8,1993,1,1,68.53,62.43,62.32,150.71,156.89,36,2.26,2,2
0001013C,10,2,1993,1,1,62.63,34.2,22.27,157.13,114.79,24,0.43,2,2
0001014C,8,18,1993,1,1,64.1,38.8,32.57,NA,NA,31,1.61,2,2
0002002C,7,24,1992,1,1,76.73,26.77,15.97,NA,NA,-9,-0.74,-9,-9
0002003C,10,5,1992,1,1,74.3,48.32,40.94,142.18,115.59,20,-2.93,1,1
0002004C,6,29,1993,2,1,65.4,43.01,33.26,130.39,107.17,29,0.54,2,2
0002005C,9,23,1992,2,3,74.7,27.85,20.32,107.47,85.86,16,-1.1,1,1
0002006C,10,12,1993,2,1,61.9,27.9,20.23,144.28,99.25,-1,-0.93,1,1
0002007C,11,26,1992,2,1,72.57,32.44,23.7,NA,NA,18,-0.62,2,2
0002008C,1,16,1993,2,1,70.87,27.81,18.64,109.04,70.11,18,0.15,1,1
0002009C,10,1,1992,1,1,74.43,33.34,22.53,NA,NA,19,-0.67,2,2
0002010C,9,7,1992,1,1,75.27,32.05,20.27,92.15,86.5,28,-0.24,2,1
0002011C,9,9,1993,1,1,63.0,26.85,25.83,114.14,104.92,17,-0.19,1,1
0002012C,9,11,1993,2,8,62.93,30.77,22.93,105.74,89.95,26,-0.36,1,1
0002013C,3,1,1992,1,1,79.0,32.96,21.4,NA,NA,23,-0.74,1,1
0002014C,11,2,1992,1,1,73.4,27.46,13.92,NA,NA,19,-0.48,1,1
0002015C,11,19,1992,2,1,72.83,43.8,34.63,NA,NA,25,-0.47,1,1
0002016C,12,24,1991,1,1,79.0,36.67,33.24,NA,NA,20,-0.83,1,1
0002017C,8,11,1993,2,1,63.97,37.42,29.9,NA,NA,18,-0.41,1,1
0002018C,4,7,1993,2,1,68.17,38.71,25.87,128.9,116.75,28,-0.23,2,2
0002019C,6,14,1992,1,1,78.07,36.05,27.04,147.36,124.62,19,-0.12,1,1
0002020C,7,31,1992,1,1,76.5,30.98,30.43,NA,NA,18,-0.64,1,1
0002021C,1,7,1993,2,1,71.2,30.73,25.25,NA,NA,15,-0.65,1,1
0002022C,6,6,1992,2,1,78.37,85.91,44.52,169.74,117.31,16,-0.55,1,1
0002023C,4,3,1993,1,8,68.3,28.97,21.08,NA,NA,27,0.07,1,1
0002024C,5,28,1993,2,1,66.5,30.01,24.71,106.51,84.64,30,-0.43,2,2
0005001C,12,30,1992,1,5,70.63,33.47,32.3,NA,NA,25,-0.54,2,2
0005002C,6,30,1992,1,3,76.73,28.02,20.98,NA,NA,16,-0.49,1,1
0005003C,3,21,1993,2,1,-9.0,NA,NA,NA,NA,33,-0.34,1,1
0005004C,5,11,1993,2,3,66.23,27.24,18.14,127.49,88.3,17,-1.08,1,1
0005005C,5,19,1992,2,1,78.13,35.25,29.41,NA,NA,20,-0.54,1,1
0005006C,11,4,1992,2,1,72.5,30.56,21.03,114.8,86.81,22,-0.66,1,1
0005007C,11,30,1992,1,1,71.63,24.67,16.35,NA,NA,18,-1.04,1,2
0005008C,1,28,1993,2,1,-9.0,NA,NA,NA,NA,16,-1.4,1,1
0005009C,1,19,1993,2,1,69.97,35.04,27.45,154.43,96.87,16,-0.94,1,1
0005010C,6,28,1993,1,1,64.63,27.76,25.85,NA,NA,17,-0.38,1,1
0005011C,3,9,1993,2,8,68.87,25.48,17.62,107.38,75.97,18,-0.36,1,1
0005012C,10,1,1993,1,1,61.47,35.82,27.5,NA,NA,NA,NA,NA,NA
0005013C,8,23,1992,1,8,74.93,27.38,20.95,94.85,80.73,18,-0.78,1,1
0005014C,6,29,1993,1,1,64.6,26.06,13.05,NA,NA,18,0.07,2,2
0005015C,8,22,1992,1,1,74.97,28.18,13.48,NA,NA,19,-1.16,1,1
0005016C,9,18,1993,2,1,61.9,24.91,14.02,103.82,73.11,22,-0.64,2,1
0005017C,8,24,1992,2,4,74.93,23.93,17.59,NA,NA,18,-0.33,1,1
0005018C,7,11,1993,2,8,64.23,23.57,15.65,NA,NA,17,-0.57,1,1
0005019C,4,15,1993,1,1,67.1,23.93,18.19,NA,NA,17,-0.6,1,1
0005020C,8,28,1993,2,7,62.6,24.97,12.38,77.43,50.81,17,-1.37,1,1
0005021C,4,6,1993,1,2,67.4,23.64,12.45,-9.0,40.29,23,-0.99,1,1
0005022C,6,3,1993,2,1,65.47,25.7,18.65,NA,NA,20,-0.79,1,1
0005023C,9,21,1993,1,1,61.8,24.3,15.28,NA,NA,18,-0.79,1,1
0005024C,9,20,1993,1,1,61.87,23.21,11.74,NA,NA,19,-0.23,1,1
0005025C,3,9,1993,2,8,68.87,24.38,17.34,106.4,87.86,18,-0.36,1,1
0006001C,5,10,1993,2,5,66.6,32.38,22.12,126.95,113.87,32,-0.68,2,2
0006002C,2,21,1993,1,5,69.37,-1.0,-1.0,94.58,72.81,31,-0.93,2,2
0006003C,8,5,1993,1,1,63.67,40.55,33.97,115.63,107.95,27,0.66,2,2
0006004C,4,1,1993,2,1,67.87,39.73,27.35,NA,NA,23,-0.25,1,1
0006005C,11,25,1992,1,1,72.1,37.23,40.17,148.85,146.69,20,-0.18,2,2
0006006C,6,7,1993,2,1,65.67,32.88,19.79,NA,NA,16,-0.97,1,1
0006007C,3,27,1993,1,1,68.03,25.55,13.36,116.06,117.99,20,-0.11,2,1
0006008C,3,4,1993,1,1,68.8,31.15,22.22,NA,NA,21,-0.62,1,1
0006009C,3,4,1993,2,1,68.8,35.26,30.7,NA,NA,23,-0.11,2,2
0006010C,5,27,1993,2,1,66.0,38.48,28.58,141.2,91.48,-1,-0.69,1,1
0006011C,9,23,1993,1,1,62.03,26.99,13.96,107.72,88.69,19,-0.54,1,1
0006012C,5,19,1993,2,1,66.27,31.25,20.13,126.06,92.47,18,-0.05,1,1
0006013C,12,3,1992,1,1,71.87,29.04,23.93,NA,NA,17,-0.6,1,1
0006014C,11,10,1992,2,1,72.63,31.91,23.62,98.89,55.2,-1,-0.74,1,1
0006015C,6,11,1993,1,1,65.53,28.73,12.41,90.0,111.55,18,-1.0,1,1
0006016C,7,11,1992,2,1,76.7,38.55,27.56,NA,NA,16,-0.69,1,1
0006017C,6,8,1993,2,1,65.6,39.51,26.65,132.62,137.58,21,-0.48,2,2
0006018C,7,5,1993,1,1,64.73,25.69,17.83,NA,NA,15,-1.09,1,1
0006019C,9,9,1993,1,3,62.5,24.56,12.2,NA,NA,15,-0.94,1,1
0006020C,4,18,1993,1,1,67.3,32.03,27.14,NA,NA,17,-0.48,1,1
0006021C,7,8,1993,2,4,64.6,25.67,19.61,NA,NA,27,-0.67,1,1
0006022C,9,13,1993,1,1,62.37,30.95,21.46,127.44,105.79,16,-1.14,1,1
0006023C,7,2,1993,1,3,64.83,29.0,18.5,NA,NA,21,-2.08,1,1
0006024C,12,16,1992,1,1,71.4,27.15,21.48,NA,NA,24,-0.06,2,2
0006025C,3,4,1993,1,1,68.8,36.37,25.86,NA,NA,23,-0.11,2,2
0007001C,9,8,1992,1,1,74.97,35.01,29.17,NA,NA,27,0.38,2,2
0007002C,6,25,1993,1,1,65.3,37.79,33.78,138.12,102.48,27,1.0,2,2
0007003C,4,19,1993,2,1,67.53,41.68,24.32,NA,NA,31,1.18,2,2
0007004C,5,22,1993,1,1,66.43,75.86,43.2,173.2,135.29,32,0.96,2,2
0007005C,8,5,1993,1,1,63.93,48.74,22.73,NA,NA,26,0.09,2,2
0007006C,7,9,1993,2,1,64.83,38.18,23.78,148.15,84.41,26,1.29,2,2
0007007C,9,17,1993,2,1,62.5,34.73,21.04,NA,NA,19,-0.54,2,2
0007008C,12,9,1992,1,1,71.9,36.11,26.18,124.63,90.36,32,0.98,2,2
0007009C,7,20,1993,2,1,64.47,40.23,20.27,136.35,74.17,28,-0.33,2,2
0007010C,3,9,1993,1,1,68.9,25.63,13.33,112.67,91.28,23,0.76,2,2
0007011C,1,20,1993,1,1,70.5,27.51,19.83,NA,NA,17,-0.66,2,2
0007012C,2,20,1993,1,1,69.47,49.83,46.38,NA,NA,29,0.56,2,2
0007013C,7,15,1993,1,1,64.63,49.61,43.91,191.23,142.41,32,2.47,2,2
0007014C,2,4,1993,2,1,70.0,40.34,29.05,NA,NA,25,-0.23,2,2
0007015C,7,26,1993,2,1,64.27,29.47,21.88,170.16,105.37,18,-0.47,2,1
0007016C,6,3,1993,1,1,66.03,27.63,16.91,121.5,104.91,28,-0.11,2,2
0007017C,7,8,1993,2,1,64.87,51.52,47.72,177.93,126.34,28,1.95,2,2
0007018C,11,22,1992,1,1,72.5,49.48,34.71,127.54,117.6,29,1.51,2,2
0007019C,3,9,1993,1,1,68.93,30.79,28.82,NA,NA,26,0.33,2,2
0007020C,12,27,1992,2,1,71.3,59.67,47.11,155.71,133.34,26,0.89,2,2
0007021C,8,29,1993,2,1,63.13,39.14,22.45,NA,NA,28,0.87,2,2
0007022C,5,13,1993,2,1,66.73,41.46,30.8,148.55,123.14,29,0.76,2,2
0007023C,7,19,1993,1,1,64.53,33.56,28.51,148.87,121.65,20,0.48,2,2
0007024C,4,5,1993,2,1,68.03,42.69,29.19,NA,NA,24,-0.37,1,1
0009001C,5,19,1993,2,1,66.23,27.11,16.15,87.54,74.41,16,-1.2,1,1
0009002C,7,4,1993,1,1,64.7,25.95,14.34,105.52,77.31,19,-0.5,1,1
0009003C,2,22,1993,2,1,69.1,38.5,20.68,120.05,81.1,28,0.82,2,2
0009004C,9,25,1992,1,1,74.1,30.91,25.37,NA,NA,20,-0.75,1,1
0009005C,2,2,1993,2,1,69.77,29.94,29.48,109.12,95.19,20,-0.52,1,1
0009007C,6,10,1993,2,1,65.47,29.44,23.87,91.68,59.16,22,-0.53,1,1
0009008C,10,6,1993,2,1,61.53,27.56,22.37,126.67,75.95,25,-0.45,2,2
0009009C,8,13,1993,2,1,63.33,37.8,25.84,144.4,103.67,22,-0.51,1,1
0009010C,8,10,1993,1,1,63.43,32.96,26.34,109.78,110.02,26,-0.46,2,2
0009011C,9,4,1992,2,1,-9.0,NA,NA,NA,NA,26,0.46,2,2
0009012C,11,2,1992,1,1,72.8,32.24,26.29,102.43,78.75,22,0.0,1,1
0009013C,3,31,1993,2,1,67.87,35.12,28.62,128.41,120.88,21,0.15,2,2
0009014C,2,9,1993,2,1,69.5,34.51,27.38,124.76,91.01,25,-0.27,2,2
0009015C,6,7,1993,1,1,65.57,29.6,18.65,NA,NA,22,-0.29,1,1
0009016C,12,3,1992,1,1,-9.0,NA,NA,NA,NA,29,0.63,2,1
0009017C,11,14,1992,2,1,72.4,34.88,28.46,132.2,103.65,NA,-0.37,NA,NA
0009018C,7,28,1992,1,1,76.03,30.2,21.56,117.63,61.73,20,-0.43,1,1
0009019C,7,23,1993,1,1,64.03,22.23,12.62,68.83,48.74,26,-0.09,2,2
0009020C,9,5,1993,2,1,62.57,27.89,13.93,96.81,58.06,21,-0.28,1,1
0009021C,10,25,1992,2,1,-9.0,NA,NA,NA,NA,19,-0.63,1,1
0009022C,4,29,1993,1,1,66.87,48.56,45.19,145.33,139.99,27,1.26,2,2
0009024C,10,22,1992,1,1,73.17,27.09,27.13,104.8,113.5,24,-0.38,1,1
0009025C,7,4,1993,2,1,64.67,25.05,15.14,-9.0,-9.0,19,-0.5,1,1
0009026C,2,22,1993,2,1,69.1,32.86,17.28,86.63,77.78,28,0.82,2,2
0010001C,10,19,1992,1,1,74.03,26.25,13.24,59.27,68.63,23,-0.64,1,1
0010002C,7,30,1993,1,1,64.57,34.68,28.93,126.17,116.08,19,-0.25,1,1
0010003C,3,19,1993,1,1,69.0,38.92,30.77,130.35,110.27,25,-0.11,2,1
0010004C,1,29,1993,1,1,70.63,23.96,29.01,126.11,106.2,-1,-0.82,1,1
0010005C,4,30,1992,2,1,79.0,26.28,19.71,NA,NA,21,-0.27,1,1
0010006C,10,17,1992,2,1,74.13,29.26,17.61,113.42,82.29,19,-0.55,1,1
0010007C,2,17,1993,2,1,70.0,33.9,24.19,126.0,83.37,25,-0.52,2,1
0010008C,3,23,1993,2,1,68.9,26.95,13.0,65.05,48.73,19,-1.36,1,1
0010009C,11,4,1992,1,1,73.5,41.24,25.78,106.73,103.14,19,-0.67,1,1
0010010C,7,10,1993,2,1,65.27,25.46,17.41,69.44,72.38,20,-1.1,1,1
0010011C,6,16,1993,1,1,66.03,24.25,19.39,82.26,88.55,18,-0.64,1,1
0010012C,2,18,1993,2,3,69.97,37.55,22.2,141.86,89.79,20,-0.49,2,1
0010013C,8,6,1992,1,1,76.53,33.12,12.86,NA,NA,24,-0.23,2,2
0010014C,9,10,1993,2,1,63.17,39.69,19.84,NA,NA,18,0.33,2,1
0010015C,8,18,1992,2,1,76.1,36.22,25.48,139.47,90.22,22,-0.47,2,2
0010016C,3,20,1993,2,1,68.97,35.87,20.0,92.76,73.89,17,-0.16,2,1
0010017C,5,27,1993,1,1,66.7,31.51,18.76,149.88,78.68,20,0.4,2,2
0010018C,10,13,1993,2,1,62.1,46.1,29.53,163.79,130.61,23,1.21,2,2
0010019C,7,18,1993,1,8,65.0,27.09,21.63,131.52,114.86,17,-0.25,2,1
0010020C,7,21,1993,1,1,64.87,26.34,20.86,76.27,64.61,17,-0.46,2,2
0010021C,6,24,1993,2,1,65.77,30.83,20.3,NA,NA,-1,-0.26,1,1
0010022C,1,5,1993,2,7,71.43,25.69,21.42,88.75,88.76,-1,0.24,-1,1
0010023C,3,24,1993,1,1,68.83,27.97,28.15,NA,NA,23,0.11,2,2
0010024C,10,7,1993,1,1,62.3,27.19,17.88,89.13,75.06,NA,NA,NA,NA
0011001C,10,28,1992,2,1,73.2,39.77,28.5,NA,NA,25,-0.22,2,2
0011002C,1,9,1993,2,1,70.77,48.38,36.98,169.07,106.21,24,-0.15,2,2
0011003C,3,5,1993,1,1,68.93,33.64,33.19,127.69,126.86,26,-0.31,2,2
0011004C,9,20,1993,2,1,62.3,27.82,28.69,146.26,124.81,33,1.06,2,2
0011005C,6,3,1993,2,1,65.93,28.77,16.44,NA,NA,NA,NA,NA,NA
0011006C,5,23,1993,2,1,66.33,30.53,19.65,126.48,97.77,29,0.2,2,1
0011007C,5,19,1992,1,1,78.6,33.44,26.2,128.25,109.46,18,-0.45,2,2
0011008C,7,21,1993,1,1,64.33,33.37,29.47,126.03,89.76,20,-0.11,2,1
0011009C,7,7,1992,2,1,76.97,31.0,24.6,123.25,81.8,18,-0.38,1,1
0011010C,8,12,1993,1,1,63.6,33.12,19.57,104.73,82.73,25,-0.07,2,2
0011011C,4,11,1993,1,1,67.7,33.02,21.07,108.97,98.99,28,-0.21,2,2
0011012C,5,20,1993,1,1,66.4,31.15,24.17,108.3,90.77,-1,-0.48,2,2
0011013C,3,19,1992,1,1,79.0,33.0,41.79,148.57,143.48,20,-0.39,2,2
0011014C,11,22,1992,1,1,72.37,28.84,19.77,146.39,93.75,21,-0.03,2,2
0011015C,2,4,1993,1,1,69.9,26.0,17.97,NA,NA,27,0.63,2,1
0011017C,7,14,1993,2,1,64.57,32.83,19.64,111.16,121.16,28,0.12,2,1
0011018C,10,7,1993,1,1,61.77,26.43,20.39,126.96,85.7,20,-0.51,1,1
0011019C,12,17,1992,2,1,71.53,29.75,18.58,126.16,93.14,25,0.04,2,2
0011020C,10,31,1992,1,3,73.1,46.25,40.64,162.09,121.41,25,-0.08,2,2
0011021C,12,7,1992,2,1,71.9,33.73,24.98,113.31,76.33,25,0.27,2,2
0011022C,8,24,1993,1,1,63.2,23.85,18.07,74.47,73.15,25,-0.66,1,1
0011023C,7,21,1993,2,1,64.33,32.27,19.78,127.43,93.36,23,0.16,2,2
0011024C,8,7,1993,1,1,63.8,47.8,40.11,169.35,135.33,26,0.33,2,2
0013001C,6,21,1993,2,1,65.9,48.56,45.53,170.95,110.04,36,1.37,2,2
0013003C,5,23,1993,1,1,67.27,36.14,55.17,144.21,130.8,28,-0.03,2,2
0013004C,12,25,1991,1,1,79.0,43.25,39.9,NA,NA,NA,NA,NA,NA
0013005C,11,2,1992,2,1,73.6,56.44,47.25,107.89,101.32,32,0.2,2,2
0013006C,5,30,1993,2,1,66.63,52.33,36.37,176.91,118.42,30,2.47,2,2
0013007C,9,1,1992,1,1,75.67,33.61,35.33,164.74,103.7,24,0.52,2,2
0013008C,3,20,1993,2,1,69.4,60.05,44.39,164.51,154.65,26,1.32,2,2
0013009C,3,19,1993,1,1,69.03,39.02,37.89,126.19,102.59,36,1.62,2,2
0014001C,6,1,1993,1,1,66.03,30.86,21.31,126.03,119.61,26,-0.27,1,2
0014002C,8,23,1993,2,1,63.23,30.31,17.33,107.35,74.79,21,-0.34,2,1
0014003C,12,25,1992,2,1,71.27,37.49,28.91,145.92,104.16,18,-0.46,1,1
0014004C,8,29,1993,1,1,63.07,25.49,13.39,NA,NA,NA,-0.44,NA,NA
0015001C,8,13,1993,1,6,63.57,31.92,18.21,127.19,107.11,20,-0.22,2,1
0015002C,10,22,1992,1,1,73.4,35.67,46.35,NA,NA,21,0.21,1,1
0015003C,5,17,1993,1,1,66.5,32.8,26.73,144.29,116.95,26,-0.23,2,1
0015004C,8,17,1993,1,1,63.43,24.99,17.45,82.91,61.47,17,-0.35,1,1
0015005C,7,3,1993,2,1,64.93,49.66,31.02,NA,NA,19,-0.74,1,1
0015006C,7,12,1992,1,1,76.8,30.95,29.58,123.92,104.03,27,0.07,2,2
0015007C,2,23,1993,2,1,-9.0,NA,NA,109.38,79.19,NA,-1.12,NA,NA
0015008C,8,23,1993,2,1,63.27,24.5,15.54,NA,NA,23,-0.51,1,1
0015009C,11,4,1992,2,1,72.97,25.39,17.83,105.29,71.69,21,-0.54,1,1
0015010C,6,8,1992,1,1,77.93,43.45,38.35,166.67,130.08,25,-0.07,2,2
0015011C,7,14,1993,1,1,64.57,36.53,32.74,167.41,145.25,NA,NA,NA,NA
0015012C,10,5,1992,1,1,73.97,25.24,21.3,NA,NA,30,-0.34,1,1
0015013C,9,2,1993,1,1,62.9,31.3,26.68,NA,NA,NA,-0.45,NA,NA
0015014C,7,25,1993,2,1,64.2,48.88,31.2,146.05,102.0,19,-0.03,1,1
0015015C,8,15,1993,2,1,63.5,35.66,26.98,147.99,119.82,18,-0.47,1,1
0015016C,1,31,1993,1,1,70.03,24.82,15.98,NA,NA,17,-0.87,1,1
0015017C,10,17,1992,1,1,73.57,22.83,12.55,-9.0,48.77,19,-1.15,2,1
0015018C,1,28,1993,1,1,70.13,28.14,26.72,NA,NA,21,-0.33,1,1
0015019C,3,26,1993,2,1,68.23,40.68,28.63,119.42,125.62,25,-0.19,1,1
0015020C,1,21,1992,2,1,79.0,49.46,37.81,135.1,105.12,27,0.79,2,2
0015021C,2,12,1993,2,1,69.67,23.54,17.83,75.18,45.13,19,-0.64,1,1
0015022C,8,20,1993,1,1,63.37,25.07,13.38,92.83,54.85,22,-0.17,2,2
0015023C,3,15,1993,1,1,68.6,23.04,13.29,52.81,65.84,19,-0.24,1,1
0015024C,8,19,1993,1,1,63.37,27.43,21.05,105.35,86.34,NA,NA,NA,NA
0015025C,11,18,1992,1,1,72.53,29.58,28.78,127.38,102.48,19,-0.1,1,2
0015026C,6,25,1992,1,1,77.37,32.64,36.24,169.26,123.57,24,1.0,2,2
0016001C,9,3,1992,1,1,74.9,35.42,39.55,105.72,127.88,23,-0.42,2,1
0016002C,6,10,1993,1,1,65.57,24.95,17.4,NA,NA,27,-0.73,2,1
0016003C,8,19,1993,2,1,63.2,33.88,33.25,NA,NA,-1,-1.11,-1,1
0016004C,3,31,1993,2,1,67.9,34.41,28.63,107.72,61.85,30,-0.43,1,1
0016005C,8,27,1993,1,1,62.93,24.5,17.99,NA,NA,27,-0.26,1,2
0016006C,11,15,1992,1,1,72.43,24.96,17.85,NA,NA,22,-0.52,2,2
0016007C,1,23,1993,2,1,70.17,24.02,20.42,NA,NA,16,-0.8,1,1
0016008C,4,1,1993,1,1,67.87,24.02,12.72,65.35,41.74,17,-0.75,1,1
0016009C,2,26,1993,1,1,69.0,24.39,18.03,105.32,54.03,21,-0.19,2,1
0016010C,6,29,1993,1,1,64.93,24.06,17.8,NA,NA,21,-0.88,1,1
0020001C,11,17,1992,2,1,73.0,41.12,22.33,104.34,73.83,19,-0.12,1,1
0020002C,1,1,1993,1,1,71.5,32.1,19.97,127.71,89.58,15,0.11,1,1
0020003C,1,1,1993,2,1,71.5,45.72,40.7,163.75,115.24,25,-0.08,2,2
0020004C,7,10,1993,2,1,65.17,30.73,16.5,71.89,61.69,-9,-0.45,1,1
0020005C,1,2,1993,1,1,71.47,26.45,18.57,102.99,89.42,22,-0.28,1,1
0020006C,8,2,1993,2,1,64.4,31.65,18.22,148.86,80.79,23,-0.41,1,1
0020007C,10,23,1992,2,6,73.87,41.33,32.34,124.48,99.78,28,0.04,2,2
0020008C,4,9,1993,1,3,68.23,32.05,22.93,121.46,74.62,23,-0.5,2,1
0020009C,5,13,1993,1,1,67.13,35.52,22.84,NA,NA,22,-0.3,2,2
0020010C,11,27,1992,1,5,72.7,26.72,24.52,105.56,103.16,-1,0.77,-1,2
0020011C,10,10,1992,1,1,-9.0,NA,NA,NA,NA,19,-1.19,1,1
0020012C,8,14,1993,2,8,-9.0,NA,NA,NA,NA,34,1.03,2,2
0020013C,1,5,1993,2,1,71.37,30.63,21.62,111.58,75.05,21,-0.16,1,1
0020014C,8,14,1993,1,1,64.0,36.16,39.66,142.82,116.59,29,0.73,2,2
0020015C,10,24,1992,1,1,73.8,27.6,19.85,NA,NA,-1,-0.29,1,1
0020016C,8,4,1993,2,1,64.37,33.02,22.3,79.69,72.96,18,-0.37,1,1
0020017C,11,2,1992,1,1,73.5,29.2,22.35,91.19,-9.0,21,0.4,1,1
0020018C,7,11,1993,1,1,-9.0,NA,NA,-9.0,41.87,29,0.62,2,2
0020019C,6,25,1993,1,1,65.67,32.89,26.03,128.58,126.06,19,-0.51,1,1
0020020C,9,15,1993,2,1,62.93,32.58,24.02,122.37,104.38,23,-0.52,2,1
0020021C,8,11,1993,2,1,64.1,38.09,28.25,NA,NA,20,-0.31,2,2
0020022C,2,13,1993,1,1,-9.0,NA,NA,126.34,109.17,32,-0.2,2,2
0020023C,6,25,1993,1,1,65.67,29.09,29.95,NA,NA,21,0.43,2,2
0020024C,6,21,1992,1,1,77.97,32.93,22.47,68.46,59.91,20,-0.44,2,2
0021001C,4,8,1993,2,1,67.57,33.21,24.19,141.07,90.22,25,-0.68,1,-8
0021002C,8,30,1993,2,1,62.77,33.93,25.04,164.14,98.92,35,-0.57,1,1
0022001C,6,24,1993,1,1,65.07,26.01,18.69,108.3,73.7,18,-0.07,1,1
0022002C,10,8,1992,1,1,73.63,33.41,24.67,117.92,75.79,21,0.48,2,2
0022003C,12,16,1992,2,1,71.37,25.32,19.36,126.56,66.26,19,-0.38,1,1
0022004C,4,19,1993,2,1,67.23,28.75,18.45,-9.0,58.47,NA,NA,NA,NA
0022005C,8,18,1993,2,1,63.17,31.96,26.49,149.07,102.16,27,1.14,2,2
0022006C,9,14,1993,1,1,62.27,34.24,25.84,127.84,99.15,19,-0.03,1,1
0022007C,2,26,1993,1,1,68.93,35.24,22.22,79.89,53.79,22,-0.66,1,1
0022008C,3,12,1993,2,1,68.47,33.54,26.56,126.42,102.15,21,-0.48,2,2
0022009C,3,17,1993,1,1,68.33,27.73,17.51,165.1,89.1,19,-0.36,1,1
0022010C,7,30,1993,2,1,63.83,24.24,16.48,110.0,73.3,23,0.23,2,2
0022011C,4,26,1993,2,1,67.0,35.34,28.66,NA,NA,26,0.39,2,2
0022012C,5,21,1993,1,1,66.17,23.55,16.13,70.28,70.44,21,-0.28,1,1
0022013C,12,15,1992,2,1,71.4,27.88,15.77,163.31,117.65,22,0.36,2,2
0022014C,7,12,1993,1,1,64.43,32.25,20.98,150.65,99.61,25,-0.12,2,1
0022015C,3,19,1993,1,1,-9.0,NA,NA,NA,NA,20,-0.82,1,1
0022016C,5,16,1993,2,1,66.33,32.75,21.98,90.36,63.66,24,0.3,2,2
0022017C,9,4,1993,2,1,62.63,24.8,15.4,129.79,80.67,21,-0.38,2,2
0022018C,8,10,1993,1,1,63.43,34.24,29.02,141.54,120.86,26,0.22,2,2
0022019C,8,21,1993,2,1,63.07,30.69,20.65,150.39,107.71,24,1.09,2,2
0022020C,6,4,1993,1,1,65.67,31.33,20.68,125.64,56.23,19,-0.66,1,1
0022021C,11,17,1992,1,1,72.33,37.24,32.41,NA,NA,25,0.9,2,2
0022022C,3,13,1993,2,1,68.43,32.2,27.76,NA,NA,NA,NA,NA,NA
0022023C,5,26,1993,2,1,65.97,34.28,26.36,137.7,123.39,19,0.28,2,2
0022024C,7,21,1993,1,1,64.1,29.24,28.0,110.37,110.49,32,1.86,2,2
0022025C,3,13,1993,2,1,68.43,38.75,31.67,NA,NA,NA,NA,NA,NA
0023001C,3,23,1993,1,1,67.67,24.92,19.26,147.78,110.92,16,-0.86,1,1
0023002C,6,17,1993,1,1,64.83,26.74,11.78,-9.0,72.12,NA,NA,NA,NA
0023003C,11,9,1992,1,1,72.13,36.18,28.39,131.88,113.53,31,0.1,2,2
0023004C,1,25,1993,2,4,69.57,28.62,17.59,NA,NA,16,0.67,1,1
0023005C,1,4,1993,2,1,70.27,37.27,27.99,140.0,95.63,-1,0.5,1,1
0023006C,5,17,1993,1,1,65.9,28.06,15.64,84.63,58.99,18,-0.37,2,2
0023007C,9,10,1993,1,1,62.0,28.55,19.77,108.24,89.13,25,0.03,2,1
0023008C,10,24,1992,2,1,72.7,28.33,20.33,NA,NA,22,-0.5,1,1
0023009C,2,15,1993,1,5,68.9,30.75,23.29,NA,NA,26,-0.04,2,2
0023010C,10,14,1992,1,1,73.0,27.31,18.61,95.78,84.37,25,0.95,2,2
0023011C,11,22,1992,2,1,71.7,31.03,28.61,123.04,103.82,24,-0.32,1,1
0023012C,5,6,1993,1,1,66.23,32.06,33.02,153.59,114.37,27,0.5,2,2
0023013C,12,20,1992,2,1,70.77,33.36,25.35,130.67,83.45,22,-0.42,1,1
0023014C,3,24,1993,2,1,67.67,25.71,17.73,NA,NA,-1,-0.02,-1,1
0023015C,4,5,1993,1,1,67.23,33.77,31.74,131.33,132.66,30,0.3,2,2
0023016C,8,27,1993,2,1,62.47,39.39,28.73,172.68,119.51,30,0.53,2,2
0023017C,6,19,1993,2,1,64.77,39.84,26.32,169.15,128.97,20,-0.11,1,1
0023018C,6,24,1993,1,1,64.6,34.43,31.5,167.32,137.54,28,0.81,2,2
0023019C,9,7,1993,2,1,62.1,51.6,30.39,166.62,105.19,25,-0.46,1,1
